grass, 0, 245
grass, 25, 245
grass, 50, 245
grass, 75, 245
river, 100, 252
river, 125, 252
river, 150, 252
river, 175, 252
river, 200, 252
river, 225, 252
river, 250, 252
river, 275, 252
grass, 300, 245
grass, 325, 245
grass, 300, 220
grass, 300, 195
grass, 300, 170
grass, 300, 145
grass, 300, 120
grass, 300, 95
grass, 275, 195
grass, 99, 175
grass, 27, 119
grass, 0, 45
grass, 198, 155
grass, 198, 130
grass, 136, 45
grass, 424, 240
grass, 446, 141
grass, 471, 141
grass, 525, 65
grass, 536, 202
grass, 561, 202
grass, 735, 245
river, 760, 252
river, 785, 252
river, 810, 252
river, 835, 252
river, 860, 252
river, 885, 252
river, 910, 252
river, 935, 252
river, 960, 252
river, 985, 252
river, 1010, 252
river, 1035, 252
river, 1060, 252
river, 1085, 252
river, 1110, 252
river, 1135, 252
river, 1160, 252
river, 1178, 252
grass, 787, 200
grass, 787, 175
grass, 787, 150
grass, 812, 150
grass, 837, 150
grass, 862, 150
grass, 887, 150
cannon, 784, 118
grass, 912, 70
grass, 1069, 183
grass, 1141, 120
grass, 1214, 35
grass, 1203, 245
grass, 1228, 245
grass, 1253, 245
grass, 1278, 245
grass, 1303, 245
grass, 1328, 245
grass, 1346, 245
grass, 1346, 220
grass, 1346, 195
grass, 1346, 170
grass, 1346, 145
grass, 1346, 120
grass, 1346, 95
grass, 1371, 95
grass, 1396, 95
cannon, 1177, 213
grass, 1475, 95
grass, 1500, 95
grass, 1525, 95
grass, 1550, 95
grass, 1550, 70
grass, 1550, 45
grass, 1550, 20
grass, 1550, -5
cannon, 1481, 64
river, 1371, 252
river, 1396, 252
river, 1421, 252
river, 1446, 252
river, 1471, 252
river, 1496, 252
river, 1521, 252
river, 1546, 252
river, 1571, 252
river, 1581, 252
grass, 1606, 245
river, 1631, 252
river, 1656, 252
river, 1681, 252
river, 1706, 252
river, 1731, 252
river, 1756, 252
river, 1781, 252
river, 1806, 252
river, 1831, 252
river, 1849, 252
grass, 1874, 245
grass, 1874, 220
grass, 1874, 195
grass, 1691, 172
grass, 1597, 80
grass, 1744, 41
grass, 1952, 64
grass, 2125, 64
grass, 2336, 52
grass, 2541, 41
grass, 2734, 41
grass, 2514, 178
grass, 2654, 139
river, 1899, 252
river, 1924, 252
river, 1949, 252
river, 1974, 252
river, 1999, 252
river, 2024, 252
river, 2049, 252
river, 2069, 252
grass, 2094, 245
grass, 2094, 220
river, 2119, 252
river, 2144, 252
river, 2169, 252
river, 2194, 252
river, 2219, 252
river, 2244, 252
river, 2269, 252
river, 2294, 252
river, 2305, 252
grass, 2330, 245
grass, 2330, 220
river, 2355, 252
river, 2380, 252
river, 2405, 252
river, 2430, 252
river, 2455, 252
river, 2480, 252
river, 2505, 252
river, 2530, 252
river, 2555, 252
river, 2580, 252
river, 2605, 252
river, 2630, 252
river, 2655, 252
river, 2680, 252
grass, 2705, 245
grass, 2730, 245
grass, 2755, 245
cannon, 2705, 211
river, 2780, 252
river, 2805, 252
river, 2830, 252
river, 2855, 252
river, 2880, 252
river, 2905, 252
river, 2930, 252
river, 2955, 252
river, 2980, 252
river, 3005, 252
river, 3030, 252
river, 3055, 252
river, 3080, 252
river, 3105, 252
river, 3130, 252
river, 3155, 252
river, 3180, 252
river, 3205, 252
river, 3230, 252
river, 3255, 252
river, 3280, 252
river, 3300, 252
grass, 3325, 245
grass, 3350, 245
grass, 3375, 245
grass, 3400, 245
grass, 3425, 245
grass, 3450, 245
grass, 3475, 245
cannon, 3327, 211
cannon, 3411, 211
grass, 2782, 154
grass, 2807, 154
grass, 2832, 154
grass, 2857, 154
grass, 2882, 154
grass, 2907, 154
cannon, 2784, 121
grass, 3066, 154
grass, 3228, 154
grass, 2869, 62
grass, 2894, 62
grass, 2919, 62
grass, 2944, 62
grass, 2969, 62
grass, 2994, 62
grass, 3019, 62
grass, 3044, 62
grass, 3069, 62
grass, 3094, 62
grass, 3119, 62
grass, 3144, 62
grass, 3169, 62
grass, 3194, 62
grass, 3219, 62
grass, 3244, 62
grass, 3269, 62
grass, 3294, 62
grass, 3319, 62
grass, 3344, 62
grass, 3369, 62
grass, 3394, 62
grass, 3419, 62
cannon, 2871, 29
