grass, 0, 245
grass, 25, 245
grass, 435, 245
grass, 460, 245
grass, 1968, 220
grass, 1968, 195
grass, 2222, 220
grass, 2222, 195
grass, 2222, 170
grass, 2644, 220
grass, 2644, 195
grass, 2644, 170
grass, 2669, 220
grass, 2669, 195
grass, 2669, 170
grass, 2694, 220
grass, 2694, 195
grass, 2694, 170
grass, 2719, 220
grass, 2719, 195
grass, 2719, 170
grass, 3045, 220
grass, 3045, 195
grass, 3045, 170
grass, 3045, 145
grass, 3045, 120
grass, 3045, 95
grass, 3141, 0
grass, 3141, 25
grass, 3141, 50
grass, 3141, 75
grass, 3141, 100
grass, 3141, 125
grass, 3337, 220
grass, 3337, 195
grass, 3337, 170
grass, 3337, 145
grass, 3337, 120
grass, 3337, 95
grass, 3337, 70
grass, 3425, 0
grass, 3425, 25
grass, 3425, 50
grass, 3425, 75
grass, 3425, 100
grass, 3425, 125
grass, 3425, 150
grass, 3425, 245
grass, 3450, 245
grass, 3475, 245
